Run	φ	Δφ	κ1	Δκ1	κ2	Δκ2	x	Δx	y	Δy	z	Δz
1	0.04577	0.01135	-0.130972825E-02	0.10885E-09	0.402657269E-02	0.44347E-09	6.62306	1.29747	-0.04126	0.02506	0.85141	0.77422
2	0.04656	0.01241	0.430251006E-02	0.56918E-09	-0.124892651E-02	0.67189E-09	37.82818	1.21667	-2.81732	0.10724	0.92434	0.81886
3	0.03437	0.10940	0.814640895E-02	0.66980E-08	-0.118821126E-02	0.15314E-07	68.37946	6.38610	2.06586	0.22622	1.64932	1.23323
4	0.03538	0.01702	0.477080932E-02	0.49647E-09	-0.122132711E-02	0.67796E-09	37.40244	1.62279	-2.35355	0.12073	2.54499	0.82217
5	0.06620	0.01315	-0.121827470E-02	0.18959E-09	0.419401983E-02	0.92162E-09	9.34047	1.42236	0.28879	0.03817	-0.18140	0.93600
6	0.12377	0.01930	-0.114228064E-02	0.11175E-09	0.598582067E-02	0.71739E-08	5.64055	1.41367	0.03732	0.04107	0.31764	0.89729
7	0.05681	0.01398	0.449419999E-02	0.10421E-08	-0.124489528E-02	0.16265E-08	52.99150	1.09202	5.87706	0.11955	-0.68365	0.80923
8	0.08685	0.02182	-0.107699248E-02	0.35048E-09	0.851428136E-02	0.54454E-08	8.03314	1.21106	0.19167	0.05567	-0.04137	1.14485
9	0.03611	0.01446	0.411931751E-02	0.53801E-09	-0.127610157E-02	0.69709E-09	38.20119	1.53025	-1.03036	0.06153	-0.58156	0.81272
10	0.08107	0.01648	-0.116733741E-02	0.35626E-09	0.441321265E-02	0.24366E-08	18.05127	1.62389	0.93029	0.06897	1.83799	1.07250
11	0.06714	0.00698	-0.117946102E-02	0.99917E-10	0.543416431E-02	0.21512E-09	7.48222	0.59191	-0.74463	0.07470	-0.95565	0.68306
12	0.05305	0.01127	-0.126065244E-02	0.11084E-09	0.457137544E-02	0.10446E-08	9.52271	1.12372	0.01102	0.02483	-0.01159	0.76097
13	0.17443	0.00782	-0.100500626E-02	0.19968E-09	0.999732036E-02	0.13489E-08	6.28695	0.34975	0.59287	0.03856	-1.76839	0.99985
14	0.09802	0.02532	-0.115094497E-02	0.42132E-08	0.102332905E-01	0.81543E-09	57.62584	1.01261	-3.07666	0.09339	-6.32800	0.99404
15	0.05953	0.01799	-0.113038078E-02	0.18815E-09	0.629815459E-02	0.20757E-08	7.33157	1.35608	-0.00464	0.04263	-0.64266	0.94278
16	0.01258	0.04395	-0.129015604E-02	0.35564E-09	0.424515549E-02	0.10369E-08	32.33020	4.91075	0.50884	0.08508	2.95400	0.86645
17	0.17156	0.00883	-0.951818831E-03	0.38636E-09	0.733071379E-02	0.22983E-08	12.67110	0.48381	1.76194	0.04421	1.17503	1.21793
18	0.08308	0.04173	-0.981195830E-03	0.42910E-08	0.928409956E-02	0.47088E-08	52.06250	2.06188	-0.43269	0.09465	1.43863	1.25748
19	0.03638	0.08155	-0.111401966E-02	0.43708E-08	0.835978892E-02	0.86527E-08	65.05351	4.70345	4.98799	0.37259	0.36885	0.94547
20	0.05252	0.01244	0.506015494E-02	0.42288E-09	-0.120037445E-02	0.70912E-09	38.00866	1.06819	-0.30626	0.03741	-1.41041	0.80920
21	0.08223	0.01579	-0.113694905E-02	0.18318E-09	0.694248173E-02	0.16653E-08	13.85232	1.06010	-0.76914	0.06629	2.61059	0.90346
22	0.05155	0.01555	-0.110943860E-02	0.33483E-09	0.719661638E-02	0.82964E-09	27.97472	1.01626	-2.05450	0.09419	-0.63854	0.79376
23	0.06500	0.01474	-0.123670953E-02	0.15746E-08	0.478794286E-02	0.13006E-08	49.75248	1.13414	-2.33940	0.07029	1.64670	0.87367
24	0.08794	0.02221	-0.112952176E-02	0.19083E-09	0.645969529E-02	0.73450E-08	11.60796	1.55431	0.03996	0.03711	0.34765	0.98214
25	0.11747	0.01944	-0.107096951E-02	0.38663E-09	0.641475013E-02	0.48877E-08	17.94223	1.33380	1.71406	0.10122	0.33112	1.35823
26	0.06992	0.01806	-0.116963743E-02	0.35318E-09	0.515154470E-02	0.22376E-08	22.01258	1.57883	0.24720	0.04114	0.49069	1.00297
27	0.11190	0.02292	0.772111304E-02	0.19671E-08	-0.103413383E-02	0.43639E-08	57.37539	1.10975	1.20895	0.05417	-4.83004	1.03403
28	0.06206	0.01374	-0.125790318E-02	0.16291E-08	0.500561157E-02	0.10786E-08	56.59154	0.95030	5.42912	0.09505	2.23570	0.74236
29	0.15959	0.04742	0.592625700E-02	0.10555E-08	-0.936112774E-03	0.15151E-07	27.24665	3.37893	2.46451	0.33218	0.28642	1.17667
30	0.06895	0.00972	-0.126069039E-02	0.10978E-09	0.425314624E-02	0.11106E-08	6.33777	1.01138	-0.00158	0.02605	0.34943	0.80214
31	0.05585	0.01720	-0.111176411E-02	0.34945E-09	0.723265810E-02	0.24595E-08	26.89345	1.09601	-0.61094	0.04729	-2.23727	0.84891
32	0.11865	0.02086	-0.104849797E-02	0.35753E-09	0.633173995E-02	0.56673E-08	16.43207	1.45378	0.84170	0.06466	1.05797	1.14718
33	0.09840	0.02620	-0.105000951E-02	0.16260E-08	0.979157817E-02	0.27473E-08	40.42822	1.23846	1.07523	0.05662	2.19389	1.16542
34	0.08436	0.02629	0.542944018E-02	0.25687E-08	-0.110398280E-02	0.42713E-08	47.88264	1.92496	-0.23767	0.10300	0.61616	1.29639
35	0.15422	0.00445	-0.112422288E-02	0.10989E-09	0.651867781E-02	0.37592E-09	6.21508	0.28242	-0.12792	0.02941	-0.30139	0.71553
36	0.10825	0.03597	-0.997284660E-03	0.43818E-08	0.111372769E-01	0.80367E-08	65.72581	1.41419	2.85056	0.06711	1.07126	0.86947
37	0.02507	0.12604	-0.130771205E-02	0.15020E-07	0.579813076E-02	0.13039E-07	73.91447	10.20209	-2.55380	0.30544	4.82833	1.33637
38	0.09567	0.02273	-0.114968990E-02	0.43763E-08	0.632338040E-02	0.25757E-08	60.41827	1.27120	4.18650	0.09437	-4.33918	0.96799
39	0.04590	0.01511	-0.119285472E-02	0.18835E-09	0.542130275E-02	0.89811E-09	20.55623	1.30412	-0.55279	0.04444	-2.22306	0.78804
40	0.05088	0.01830	-0.112241413E-02	0.11111E-09	0.754621346E-02	0.14456E-08	9.98541	1.17089	-0.05257	0.02392	0.56373	0.77281
41	0.08832	0.01751	-0.115158746E-02	0.71153E-09	0.442700321E-02	0.25672E-08	28.39727	1.64950	0.67344	0.05690	-1.33343	1.16183
42	0.06190	0.02187	-0.113440189E-02	0.71970E-09	0.706021301E-02	0.19313E-08	44.45858	1.43181	0.14387	0.02736	-0.06951	0.84511
43	0.09945	0.01516	-0.108281663E-02	0.11402E-09	0.879180245E-02	0.40209E-08	7.01542	0.80065	0.33148	0.04241	1.37101	0.84063
44	0.09136	0.03948	-0.111643039E-02	0.42455E-08	0.897853076E-02	0.51966E-08	51.06379	1.98796	-1.30079	0.10673	-0.79630	1.29277
45	0.09912	0.05286	-0.106232031E-02	0.15317E-07	0.944266468E-02	0.97522E-08	74.78059	2.23501	0.68510	0.06338	5.38183	0.97745
46	0.09018	0.01227	-0.114246155E-02	0.19006E-09	0.680556335E-02	0.20623E-08	9.17595	0.82171	-0.00034	0.03649	-0.37913	0.91454
47	0.05413	0.01653	-0.111775578E-02	0.10798E-09	0.749323657E-02	0.20652E-08	2.63331	1.06217	-0.05457	0.04621	-0.49830	0.81688
48	0.04208	0.01909	-0.117606029E-02	0.70099E-09	0.564717734E-02	0.95904E-09	36.27473	1.56034	-0.82623	0.06036	-1.55319	0.87718
49	0.08800	0.01197	-0.119554787E-02	0.35023E-09	0.410214951E-02	0.93200E-09	16.88644	1.25675	0.35642	0.04605	0.42555	1.03892
50	1.18884	0.02815	0.149109298E-01	0.24525E-08	-0.108729780E-02	0.15273E-07	62.56283	0.09381	5.16379	0.12601	-7.70005	1.17592
51	0.02104	0.08317	0.429631583E-02	0.96573E-09	-0.127148931E-02	0.43055E-08	34.36941	9.15362	2.09942	0.43608	0.23438	1.16691
52	0.08344	0.01691	-0.119698560E-02	0.15863E-08	0.496359216E-02	0.82622E-09	34.68482	1.43006	-0.12197	0.07663	0.79610	1.15869
53	0.16711	0.00638	-0.109829649E-02	0.11185E-09	0.873429328E-02	0.23094E-08	6.09095	0.29263	0.01051	0.02606	-0.04903	0.76882
54	0.03621	0.02203	-0.121602870E-02	0.11301E-09	0.489619561E-02	0.24234E-08	6.93171	2.12991	0.30689	0.10671	0.56893	0.82812
55	0.04221	0.03839	-0.110415171E-02	0.72796E-09	0.861216616E-02	0.37278E-08	33.57465	2.15462	3.24180	0.19936	0.36563	1.01632
56	0.12712	0.01190	-0.103646889E-02	0.11180E-09	0.113666812E-01	0.33815E-08	11.40409	0.47576	-0.04487	0.02403	0.00249	0.77952
57	0.11798	0.01267	-0.104268722E-02	0.10877E-09	0.120667182E-01	0.30206E-08	1.69670	0.49559	-0.00175	0.03930	0.09387	0.85024
58	0.03342	0.01663	-0.129528041E-02	0.11007E-09	0.400502514E-02	0.11103E-08	8.08392	1.92496	0.04694	0.03170	-0.59581	0.77947
59	0.01640	0.61462	0.704321451E-02	0.63676E-08	-0.114268612E-02	0.15281E-07	67.94391	42.86993	6.58779	4.13456	-3.83622	2.43591
60	0.12186	0.01269	-0.105870294E-02	0.11212E-09	0.926698837E-02	0.74189E-08	12.24540	0.57285	0.01432	0.02225	-0.82423	0.77603
61	0.05202	0.00954	-0.125652878E-02	0.10377E-09	0.430909405E-02	0.52170E-09	1.80262	1.02070	-0.05772	0.06329	-0.59060	0.77202
62	0.09452	0.01976	-0.117044419E-02	0.72736E-09	0.669938326E-02	0.73356E-08	31.35058	1.20104	3.06235	0.12296	2.33449	1.07741
63	0.07040	0.01908	-0.118817738E-02	0.16374E-08	0.511453766E-02	0.26028E-08	42.95277	1.50031	2.69691	0.09189	-2.85933	1.06725
64	0.04885	0.02159	-0.107688131E-02	0.33303E-09	0.968834013E-02	0.22849E-08	32.44690	1.06147	-2.93838	0.10874	-2.50311	0.75509
65	0.07845	0.04554	-0.114052685E-02	0.42996E-08	0.106303534E-01	0.60492E-08	59.63923	1.98229	-1.14958	0.06483	-0.20150	1.03974
66	0.11148	0.02067	-0.110636558E-02	0.70919E-09	0.944883469E-02	0.39992E-08	28.90856	0.99978	-0.04996	0.05262	-1.25279	1.11072
67	0.03271	0.02326	-0.118714047E-02	0.70995E-09	0.510221999E-02	0.94028E-09	34.20939	2.13578	0.23094	0.03517	-0.42942	0.91229
68	0.09156	0.01283	-0.113946933E-02	0.71867E-09	0.769455032E-02	0.21090E-08	44.72585	0.67364	5.53870	0.08457	-0.59249	0.75516
69	0.05870	0.01399	-0.121204928E-02	0.16313E-08	0.460104039E-02	0.10522E-08	52.91648	1.07214	5.42183	0.10617	2.17146	0.80992
70	0.02331	0.01509	-0.125888467E-02	0.10516E-09	0.442454033E-02	0.24038E-09	8.96210	1.62017	-0.42567	0.08750	0.69469	0.67889
71	0.05354	0.01305	-0.117520650E-02	0.18848E-09	0.551196095E-02	0.91945E-09	12.13815	1.10831	-0.10863	0.03769	-1.02925	0.83560
72	0.04917	0.03428	-0.106749369E-02	0.72822E-09	0.891724043E-02	0.60733E-08	38.75261	1.82881	3.20468	0.14841	-0.91135	0.91330
73	0.04494	0.01489	-0.126555446E-02	0.19823E-09	0.440828130E-02	0.93515E-09	17.54267	1.55063	0.53080	0.05453	-1.44601	0.91395
74	0.03179	0.01843	-0.120491174E-02	0.10558E-09	0.523365475E-02	0.10630E-08	11.95046	1.67659	-0.68999	0.09920	-0.77115	0.73527
75	0.07837	0.02185	-0.109834212E-02	0.35173E-09	0.825411174E-02	0.68413E-08	20.47714	1.20882	-0.06767	0.04239	-1.43456	1.00831
76	0.05966	0.01051	-0.120013184E-02	0.19153E-09	0.510514854E-02	0.10585E-08	23.67088	0.90333	-0.29494	0.02426	0.40290	0.74586
77	0.12408	0.02421	-0.106730999E-02	0.15997E-08	0.108066602E-01	0.26041E-08	31.10585	1.03517	0.32754	0.08670	-0.80508	1.24840
78	0.13678	0.01284	-0.108416867E-02	0.19946E-09	0.430206023E-02	0.20481E-08	-3.14786	1.30088	0.73340	0.09553	-0.18316	1.28791
79	0.07551	0.01277	-0.112139992E-02	0.71129E-09	0.623257039E-02	0.84030E-09	36.04572	0.88676	-0.19645	0.04020	1.34632	0.87383
80	0.11373	0.04729	0.732980808E-02	0.11842E-07	-0.102618441E-02	0.15220E-07	70.93558	2.33694	-0.94422	0.07902	-1.41312	1.12246
81	0.08703	0.04810	0.441505807E-02	0.10942E-08	-0.120775867E-02	0.42648E-08	5.52564	5.08822	0.71019	0.12451	-0.16031	1.17329
82	0.09509	0.04733	0.511842035E-02	0.97040E-08	-0.111848617E-02	0.15149E-07	53.92858	3.41895	0.83320	0.15987	-2.50411	1.77011
83	0.07103	0.01298	-0.111925602E-02	0.10901E-09	0.737437326E-02	0.21213E-08	2.17542	0.83312	-0.03062	0.03600	0.33658	0.82088
84	0.03567	0.01477	-0.124605966E-02	0.68860E-09	0.409124140E-02	0.55406E-09	37.72271	1.58147	-1.59813	0.08883	1.51883	0.82481
85	0.13255	0.00954	-0.112849404E-02	0.11128E-09	0.685556186E-02	0.18373E-08	4.58179	0.61212	0.00144	0.02822	0.25873	0.84400
86	0.09617	0.01659	-0.107989577E-02	0.16237E-08	0.732372142E-02	0.23464E-08	54.79684	0.88390	6.00825	0.09876	2.35838	0.80033
87	0.03902	0.02310	-0.118854106E-02	0.11162E-09	0.569819706E-02	0.20764E-08	6.52594	1.94569	0.11211	0.04862	0.58464	0.84490
88	0.15742	0.00661	-0.105956127E-02	0.20441E-09	0.404134579E-02	0.10410E-08	-8.06507	0.67807	0.56463	0.05548	-0.75618	1.28782
89	0.08243	0.01390	-0.103970757E-02	0.10916E-09	0.148950433E-01	0.90134E-09	7.33077	0.45554	-0.23469	0.03701	-0.62209	0.75171
90	0.05368	0.02385	-0.104891020E-02	0.19058E-09	0.131814424E-01	0.22153E-08	17.21526	0.88680	-0.26088	0.03848	-1.16533	0.81167
91	0.04166	0.00976	-0.120694353E-02	0.10282E-09	0.491697574E-02	0.22685E-09	8.06324	0.93627	-0.57294	0.08233	-0.18140	0.67822
